CustomerID,InvoiceDate,InvoiceNo,Quantity,UnitPrice,Country
CUST1000,2023-11-24,INV100000,7,97.02,United Kingdom
CUST1001,2023-02-27,INV100001,20,70.36,Australia
CUST1002,2023-01-13,INV100002,15,84.51,Australia
CUST1003,2023-05-21,INV100003,11,87.35,Germany
CUST1004,2023-05-06,INV100004,8,84.66,Australia
CUST1005,2023-04-25,INV100005,7,45.48,Italy
CUST1006,2023-03-13,INV100006,19,26.14,France
CUST1007,2023-02-22,INV100007,11,42.68,France
CUST1008,2023-12-13,INV100008,11,89.73,Spain
CUST1009,2023-10-07,INV100009,4,18.93,Spain
CUST1010,2023-02-14,INV100010,8,53.77,France
CUST1011,2023-10-30,INV100011,3,27.16,Netherlands
CUST1012,2023-08-05,INV100012,2,60.22,Spain
CUST1013,2023-01-17,INV100013,12,87.0,Germany
CUST1014,2023-01-16,INV100014,6,88.63,Australia
CUST1015,2023-02-17,INV100015,2,27.49,France
CUST1016,2023-04-22,INV100016,1,91.23,Canada
CUST1017,2023-04-30,INV100017,12,61.23,Spain
CUST1018,2023-09-16,INV100018,12,38.27,France
CUST1019,2023-11-05,INV100019,17,72.28,Italy
CUST1020,2023-01-14,INV100020,10,50.76,United Kingdom
CUST1021,2023-10-15,INV100021,16,40.91,Australia
CUST1022,2023-04-12,INV100022,15,71.98,France
CUST1023,2023-11-29,INV100023,15,28.63,United Kingdom
CUST1024,2023-12-26,INV100024,19,36.37,Spain
CUST1025,2023-10-07,INV100025,12,46.27,United Kingdom
CUST1026,2023-08-03,INV100026,20,29.1,Australia
CUST1027,2023-04-23,INV100027,3,43.49,France
CUST1028,2023-08-18,INV100028,5,59.29,Italy
CUST1029,2023-10-29,INV100029,19,75.39,Netherlands
CUST1030,2023-05-23,INV100030,7,77.88,Spain
CUST1031,2023-01-04,INV100031,9,83.17,France
CUST1032,2023-03-23,INV100032,7,75.7,Australia
CUST1033,2023-12-24,INV100033,18,69.7,Spain
CUST1034,2023-08-05,INV100034,4,27.56,Germany
CUST1035,2023-06-24,INV100035,14,43.02,United Kingdom
CUST1036,2023-05-23,INV100036,18,50.38,Netherlands
CUST1037,2023-03-21,INV100037,9,12.87,Australia
CUST1038,2023-04-21,INV100038,2,55.2,Germany
CUST1039,2023-06-22,INV100039,20,46.45,Canada
CUST1040,2023-02-22,INV100040,15,81.2,France
CUST1041,2023-02-17,INV100041,7,97.9,Italy
CUST1042,2023-07-14,INV100042,12,57.82,Spain
CUST1043,2023-02-19,INV100043,8,35.66,United Kingdom
CUST1044,2023-07-03,INV100044,15,9.12,Spain
CUST1045,2023-06-26,INV100045,3,92.84,Netherlands
CUST1046,2023-11-06,INV100046,14,92.32,France
CUST1047,2023-05-16,INV100047,17,29.03,Spain
CUST1048,2023-01-23,INV100048,4,71.06,United Kingdom
CUST1049,2023-08-24,INV100049,18,12.17,France
CUST1050,2023-10-02,INV100050,8,20.79,Spain
CUST1051,2023-03-05,INV100051,4,25.6,Italy
CUST1052,2023-07-13,INV100052,2,32.98,Australia
CUST1053,2023-02-10,INV100053,6,99.6,France
CUST1054,2023-10-10,INV100054,10,71.21,Australia
CUST1055,2023-05-31,INV100055,4,41.5,Canada
CUST1056,2023-11-18,INV100056,18,75.02,France
